對話方式,角色,內容,站位,表情差分,服裝,背景,7,8,9
,,{CreateBackground},,,,學校,,,
旁白,0,夜雨成績頂尖、十項全能，代表學校參加各類國際比賽成績斐然，聽說已經有十幾間國外知名大學寄信邀請她去就讀了。,,,,,,,
旁白,0,姣好的身材、精緻的五官，更讓她成為全校公認的校花，也讓我一入學就聽同學說過她的事蹟。,,,,,,,
旁白,0,如果能跟她在一起，肯定少奮鬥不只十年，還聽說她父母雙亡，入贅都不用侍奉公婆。,,,,,,,
,,{CreateBackground},,,,宮廟,,,
,徐淼,「你把她娶進門，吃香喝辣不說，香車美人都有啦，嘿嘿嘿，我每天看著孫媳婦也挺養眼的。」,,大笑,,,,,
,我,「別傻了，這麼好的事情輪得到我的話，怎麼不乾脆去簽樂透？」,,無奈,,,,,
,徐淼,「說的也是，而且我只看過照片，搞不好是修圖呢。」,,大笑,,,,,
,,{CreateBackground},,,,學校,,,
旁白,0,修圖肯定是沒有，但抱持著不必要的妄想，自己覺得痛苦、別人覺得噁心。,,,,,,,
旁白,0,所以，我打從一開始就沒打算與夜雨有任何接觸。,,,,,,,
旁白,0,但人生不如意事，十之八九……,,,,,,,
旁白,0,那是我高一的時候，與高二的學生同時出行的校外教學。,,,,,,,
,,{CreateBackground},,,,森林,,,
旁白,0,我們上了溪頭森林遊樂區，讓大家自由活動。,,,,,,,
旁白,0,不巧，卻碰上細雨連綿。,,,,,,,
旁白,夜雨,我躲進一處偏僻涼亭裡，與倉皇狼狽的夜雨偶遇。,,閉嘴,,,,,
旁白,夜雨,夜雨那一頭烏黑長髮被雨砸得凌亂四散，繡著綠色學號的白色國中制服被大雨染成透明。,,害羞,,,,,
旁白,夜雨,白色的內衣若隱若現，百褶裙上的水滴滴滴分明，灌滿了水的黑色皮鞋微微腫脹起來。,,害羞,,,,,
旁白,夜雨,她拉了拉身上的衣服裙子、將令人難受的皮鞋脫下，五指權作髮梳將頭髮梳理整齊。,,撥頭髮,,,,,
旁白,夜雨,我們起被困在雨中，窮極無聊，只能拚了命假裝不在意彼此，那才是成熟大人該展現的模樣。,,閉嘴,,,,,
旁白,夜雨,雨聲滴滴答答代替時鐘，讓涼亭裡的時間停滯，雨勢時大時小，彷彿呼應著兩人間看不見的心情起伏。,,害羞,,,,,
旁白,夜雨,或許是冰冷的雨水逼得體溫上升、也或許是奔跑過的悸動殘餘在身體裡？無法否認的是，那奇妙的心動感覺彌久不散。,,興奮,,,,,
旁白,0,但也僅止於此。,,,,,,,
旁白,0,我們們誰也不會先開口與對方說話，像是在比賽誰先開口就輸了的遊戲，而雙方都固執地想要贏。,,,,,,,
旁白,0,大雨在半空中交雜撞擊的聲音、樹葉在搖晃婆娑的聲音、雨水墜落在水池中的聲音。,,,,,,,
旁白,0,在相對論的強力影響下，時間在某種意義裡達到了永恆。,,,,,,,
旁白,0,山中的雨後，有種獨特的氣味。,,,,,,,
旁白,0,或者其實是，青春的味道。,,,,,,,
對話,夜雨,「徐林，我喜歡你。」,,說話,,,,,
對話,我,「啥？」,,驚訝,,,,,
對話,夜雨,「我喜歡你很久了，但一直不敢靠近你，只敢遠遠看著你。」,,害羞,,,,,
對話,夜雨,「但我實在忍不住了，我真的好喜歡好喜歡你，希望你能跟我交往。」,,害羞,,,,,
旁白,0,在如偶像劇般無比浪漫的一幕之後，我們正式交往了。,,,,,,,
,,{CreateBackground},,,,宮廟,,,
對話,我,「這就是所謂『越不上心的東西越容易得到』吧？這個世界就是這樣，像我就沒有很想跟她交往。」,,色瞇瞇,,,,,
對話,徐淼,「你褲子都濕了，還要裝？」,,色瞇瞇,,,,,
對話,我,「身體正常的青春期男性，早上這樣很正常啦。」,,色瞇瞇,,,,,
,,{CreateBackground},,,,學校,,,
旁白,0,第一次交到女朋友又是校花，我當然滿腦子幻想了各種嗯嗯啊啊的事情，這點不可否認。,,,,,,,
旁白,0,但事情遠沒有我想像得那麼簡單。,,,,,,,
對話,夜雨,「徐林，我們一起回家吧！」,,說話,,,,,
旁白,0,跟校花手牽手一起回家，看看路上那些羨慕記妒恨的表情，爽啦。,,,,,,,
對話,夜雨,「徐林，來吃我做的愛心便當吧！」,,說話,,,,,
旁白,0,廚藝一流的愛心便當，如果能吃一輩子就好了呢。,,,,,,,
對話,夜雨,「徐林，這是我幫你買的透氣內褲，為了我們幸福的未來，你以後要穿這個上學喔。」,,微笑,,,,,
旁白,0,痾，雖然有點過頭了，但女友的愛心嘛，我當然還是很喜歡。,,,,,,,
對話,夜雨,「徐林，你家的沐浴乳快用完了，這瓶給你帶回去用吧 。」,,害羞,,,,,
旁白,0,等等，為什麼妳連我家沐浴乳快用完了都會知道？,,,,,,,
對話,夜雨,「徐林，你最喜歡用的幾個ＡＶ女優，我都存在這個隨身碟裡，這樣你晚上就不用花半個小時在網路上挑片了。」,,害羞,,,,,
旁白,0,？？？？？？？？？,,,,,,,
,,{CreateBackground},,,,宮廟,,,
對話,夜雨,「徐林，我記得家裡廁所衛生紙不夠用，我幫你拿來了！」,,興奮,,,,,
對話,我,「幹！不要再半夜潛進我家偷看我上廁所啦！」,,生氣,,,,,
,,{CreateBackground},,,,學校,,,
旁白,0,夜雨對我的「照顧」無微不至，無時無刻不監視著我的一舉一動，就連我半夜幾點起床尿尿她都知道。,,,,,,,
旁白,0,根本像是個變態，不，完全就是個變態。,,,,,,,
旁白,0,就算其他部分再怎麼完美，我都沒辦法接受跟一個變態交往。,,,,,,,
對話,我,「我們分手吧。」,,說話,,,,,
對話,夜雨,「真的要這樣嗎？」,,哀傷,,,,,
對話,我,「嗯。」,,閉嘴,,,,,
對話,夜雨,「可是、可是……」,,哀傷,,,,,
對話,我,「不管妳說什麼，總之必須分手。」,,說話,,,,,
對話,夜雨,「可是人家還沒跟你做（逼──）跟（逼──）和（逼──）的事情，本來想等交往久一點再做的說……」,,害羞,,,,,
旁白,0,色即是空空即是色阿彌陀佛大慈大悲觀世音菩薩無量神尊地藏王菩薩……,,,,,,,
旁白,0,主動跟校花分手讓我覺得我的人生過分奢侈了，好幾次我認為自己不該想那麼多，直接撲上去當一回禽獸也好過禽獸不如。,,,,,,,
旁白,0,但一想到她可能會把我綁在床上拿棒子捅我（逼──）幫我破處，我馬上就軟了，我說的是腳。,,,,,,,
旁白,0,在那之後我一直故意躲著她，但還是經常感覺到床底下有人、天花板上有鬼，差點要去看精神科。,,,,,,,
旁白,0,我本來以為事情不可能更糟了，但今天──,,,,,,,
對話,晴光,「醜女，別擋路。」,,不耐煩,,,,,
對話,夜雨,「徐林是我的人，臭小鬼別想糾纏不清。」,,生氣,,,,,
對話,我,「那個，都沒有人要問一下我的意見嗎？」,,無奈,,,,,
對話,晴光,「?周嬤我兩百多──咳！我才不小呢，別以為自己長著一對累贅的肥肉就瞧不起人了！」,,生氣,,,,,
對話,夜雨,「哼，『小』鬼就是『小』鬼，少在那裝模作樣了。」,,生氣,,,,,
對話,夜雨,「要去愛情旅館的話，怎麼想也是身為女友的我先跟徐林一起去，哎呀，說得我都害羞了。」,,害羞,,,,,
對話,彩霞,「呵，這就是傳說中的修羅場嗎？這下可有好戲看了。」,,興奮,,,,,
對話,主任,「嗚嗚嗚，大家給我這個主任一點尊重好嗎？」,,,,,,,
