對話方式,角色,內容,佔位,表情差分,服裝,背景,7,8,9
,,{CreateBackground},,,,墾丁沙灘,,,
旁白,0,人都到墾丁了，不玩個兩天再回去似乎說不過去。,,,,,,,
旁白,0,尤其當地盛夏的三個名產：陽光，沙灘，比基尼，不好好鑑賞一下實在太浪費了。,,,,,,,
旁白,0,彩霞上身一件布織外罩衫，底下的粉紅色胸衣若隱若現，下身粉紅色流蘇裙在走動時搖晃擺動，一件薛丁格的內褲引人遐思。,,,,,,,
旁白,0,嗯嗯，雖然露出度不高，但這樣更加吸引人有意無意的偷看，正中我的好球帶。,,,,,,,
旁白,0,夜雨一套三點式的黑色比基尼，與白皙的肌膚形成強烈的對比，彷彿時裝秀模特兒般的身材更引人注目。,,,,,,,
旁白,0,她臉上緋紅，用手遮住胸部跟腿根，反而將乳肉擠在一起、更像沒穿衣服似的。,,,,,,,
旁白,0,嗯，這種想表現但又害羞的風格，我也很喜歡。,,,,,,,
旁白,0,晴光一身光滑無瑕的皮膚，柔嫩卻又充滿彈性的雙峰微微隆起，連下身都亮晶……,,,,,,,
旁白,0,？？？？？？？？？？,,,,,,,
對話,我,「幹！給我把衣服穿上！」,,驚訝,,,,,
對話,晴光,「反正都不能保暖，幹嘛還要多穿衣服？」,,不耐煩,,,,,
對話,夜雨,「妳有毛病啊？這又不是裸體沙灘。」,,生氣,,,,,
對話,彩霞,「雖然我很喜歡這種大膽的風格，但會因為妨礙風化被抓走的喔。」,,曖昧,,,,,
旁白,0,夜雨跟彩霞連忙架著晴光離開，往賣泳裝的方向去了。,,,,,,,
旁白,0,唉，能跟三個美少女到海邊玩其實是很開心啦，尤其我故意戴了墨鏡、泳褲外還穿著寬鬆的海灘褲呢！,,,,,,,
旁白,0,但這三個傢伙一個比一個奇怪，尤其晴光，連正常人類該有的常識七零八落，像山溝裡出來的……,,,,,,,
旁白,0,說起來，這兩天總能感覺到身邊有若有似無的妖氣，可就算用法術探查也沒有結果。,,,,,,,
旁白,0,難道晴光並非……,,,,,,,
對話,彩霞,「抱歉、抱歉，久等啦。」,,說話,,,,,
旁白,0,彩霞帶著晴光回到沙灘旁，一身黃色的連身泳衣……,,,,,,,
對話,我,「好無聊喔。」,,無言,,,,,
對話,晴光,「搞屁啊！我就說不用穿啊！」,,生氣,,,,,
對話,夜雨,「妳不是說妳不在乎，隨便都好嗎？」,,微笑,,,,,
對話,晴光,「他那個看著垃圾的眼神也太明顯了！讓人很不爽啊！」,,生氣,,,,,
對話,我,「我沒有啊，只是覺得除了學校泳裝之外，連身泳衣都是垃圾而已。」,,無言,,,,,
對話,晴光,「都直接說出來了啊！」,,生氣,,,,,
對話,夜雨,「哎呀，妳也別太在意了，反正是妳那貧弱的身材穿什麼泳衣都差不多。」,,撥頭髮,,,,,
對話,晴光,「妳是想說，妳那一身沒用的贅肉是值得誇耀的事嗎？」,,不耐煩,,,,,
旁白,0,晴光說著，將自己身上的衣物撕碎一半，露出大片肌膚。,,,,,,,
對話,晴光,「小女孩身上的肉就是要像我這樣精實才好吃，像妳那種的我都是直接吐掉，懂嗎？」,,雙手環胸,,,,,
旁白,0,晴光身上的衣服脫落，嬌小可愛的胸部只差一點就要從衣服中掉出來，更令人想伸手一探究竟。,,,,,,,
