對話方式,角色,內容,腳色佔位,表情差分,服裝,背景,7,8,9
,,{CreateBackground},,,,墾丁大街,,,
旁白,0,在離開墾丁之前，彩霞買了很多星砂、木牌之類我看不出哪裡有紀念意義的紀念品，只能說女人購物的能力永遠不會受到時空間限制。,,,,,,,
對話,我,「妳們也玩夠了，那就回去吧。」,,說話,,,,,
對話,彩霞,「那怎麼可以，我都已經計畫好五天四夜的汽車旅行了耶！」,,說話,,,,,
對話,我,「五天四夜是怎樣？而且我們根本沒人有駕照。」,,無奈,,,,,
對話,夜雨,「放心，我都已經準備好等你十八歲就結婚了。」,,興奮二,,,,,
旁白,0,為甚麼突然就跳到結婚了，上聯呢？,,,,,,,
對話,夜雨,「為了我們恩恩愛愛的新婚生活，駕照什麼的當然也先考好了。」,,興奮一,,,,,
對話,我,「但也沒有車。」,,無奈,,,,,
對話,夜雨,「先租嘛，等我畢業就馬上去賺錢，以我的成績跟能力買車買房不是問題，以後靠我養你就好了！」,,興奮二,,,,,
旁白,0,可惡，這種被人豢養的廢物生活根本是我從小到大的夢想──不行！現在放棄還太早了！,,,,,,,
對話,我,「但學校那邊……」,,無奈,,,,,
對話,夜雨,「我就是為了你才唸這間學校，沒有你的學校沒有任何意義。」,,微笑,,,,,
對話,彩霞,「雖然學校裡滿滿的青春戀愛氣息也不錯，但怎麼想都沒有這邊來得刺激啊。」,,調皮,,,,,
對話,晴光,「我才不想去什麼無聊的學校呢。」,,哼,,,,,
對話,我,「好吧，我完全無法反駁。」,,微笑,,,,,
旁白,0,於是我們一路從墾丁北上，走走停停，邊走邊玩。,,,,,,,
,,{CreateBackground},,,,海生館,,,
旁白,0,先到了海生館，跟廣場的大鯨魚認親，並對裡頭的新設施，以及裡面奇奇怪怪的海洋生物嘖嘖稱奇。,,,,,,,
,,{CreateBackground},,,,賽車場,,,
旁白,0,又去小型賽車場，結果就是晴光亂踩煞車讓我們兩個撞得亂七八糟，不過只是大笑一場。,,,,,,,
,,{CreateBackground},,,,吊橋,,,
旁白,0,後來我們一起到了南投山上，情人吊橋、天空步道，跟很多奇怪的蛇蟲鼠椅大戰三百回合。,,,,,,,
,,{CreateBackground},,,,採草莓,,,
旁白,0,在苗栗的大湖採草莓、新竹城隍廟吃米粉，把只聽過沒去過的地方走過一遍，留下回憶。,,,,,,,
旁白,0,最後也真的索性多請了一天假，抵達終點：九份老街。,,,,,,,
,,{CreateBackground},,,,九份老街,,,
旁白,0,我以前來過這裡，雖然我討厭熱鬧、討厭人多，卻喜歡這個地方。,,,,,,,
旁白,0,我說不明白，但這裡有一股濃厚的「氣味」，讓人不自覺的放慢步調，去欣賞周遭的一景一物。,,,,,,,
旁白,0,尤其我們是星期一抵達的，少了假日擁擠的人群，更能慢慢挑選自己喜歡的。,,,,,,,
