0.對話方式,1.角色,2.內容,3.角色佔位,4.表情差分,5.服裝,6.背景,7,8,9
,,{CreateBackground},,,,學校,,,
對話,???,「也罷，我看一下就知道你是不是徐林了。」,中,說話,制服,晴光,,,
旁白,0,?！,,,,,,,
,,{CreateWhiteSplash},,,,,,,
旁白,0,小蘿莉說著，竟猛然伸手朝我胸膛襲來，還好我反應快，下意識的抓住她的手。,,,,,,,
,,{CreateWhiteSplash},,,,,,,
旁白,0,我們兩個都愣了一下，但她沒有就此住手，又伸出另一隻手抓住我的制服領子，試圖扯開我的衣服。,,,,,,,
,,{CreateWhiteSplash},,,,,,,
旁白,0,我當然不能讓她如願，但她的力氣出乎意料的大，我不得不全力應付，隨即扭打成一團。,,,,,,,
對話,徐林,「救命啊！光天化日調戲良家少男啊！」,,驚訝,,,,,
對話,???,「別擋啦，快讓我看看！」,中,生氣,制服,晴光,,,
對話,徐林,「為什麼我要讓妳看啊？」,,驚訝,,,,,
對話,???,「一個大男人，看一下又不會少一塊肉！」,中,生氣,制服,晴光,,,
對話,彩霞,「好刺激啊，原來是『肉食系女友』呢……」,左,舔嘴,,,,,
對話,主任,「住手、快住手！你們兩個在校門口想做什麼傷風敗俗的事情？」,右,,無,,,,
旁白,0,學校主任匆匆趕到，小蘿莉不耐煩的「嘖」了一聲，這才鬆開手。,,,,,,,
對話,主任,「真是的，一大清早的拉拉扯扯，真是敗壞門風，現在的年輕人一點都不知羞恥……」,右,,無,,,,
對話,主任,「妳是今天要入學的『晴光』吧，別跟那壞學生混在一起，小心畢不了業。」,右,,無,,,,
旁白,0,我看著主任口中的「晴光」，身高不足一米五，一張稚嫩的臉蛋，怎麼看都是小學生。,,,,,,,
旁白,0,她一頭棕黃色的長髮、張嘴時會露出明顯的虎牙，現在那橫眉豎目的模樣，倒像隻發怒的小老虎。,,,,,,,
旁白,0,此時，這小老虎盯緊了「獵物」，也就是我，根本沒把主任的話聽進去。,,,,,,,
對話,晴光,「我問你，他是不是徐林？」,中,說話,制服,,,,
對話,主任,「是啊。」,右,,無,,,,
對話,晴光,「他有沒有雙胞胎兄弟？」,左,說話,制服,,,,
對話,主任,「沒有啊。」,右,,無,,,,
對話,晴光,「你不會認錯？」,左,說話,制服,,,,
對話,主任,「怎麼可能認錯，你看那痞子樣，除了徐林沒別人了。」,右,,無,,,,
旁白,0,晴光惡狠狠地瞪了我一眼，像是要把我生吞活剝了似的。,,,,,,,
旁白,0,奇怪了，我遲遲沒想起在哪裡惹上這個煞星，總不可能是單純覬覦我的美色吧？,,,,,,,
對話,晴光,「算了，這次就先不跟你計較。」,中,不耐煩,制服,,,,
對話,晴光,「別管什麼學校了，跟我去約會吧。」,中,微笑,制服,,,,
對話,徐林,「約會？」,,驚訝,,,,,
對話,彩霞,「約會？」,中,興奮,制服,,,,
對話,主任,「約會？」,右,,無,,,,
對話,晴光,「怎麼了嗎？」,中,閉嘴,制服,,,,
對話,主任,「現在是上課時間──不對，學校禁止談戀愛啊！」,右,,無,,,,
對話,晴光,「沒有談戀愛啊。」,中,說話,制服,,,,
對話,主任,「沒有談戀愛還翹課去約會？」,右,,無,,,,
對話,晴光,「先去愛情旅館，然後把他的衣服脫掉，我就可以拿走……咳，妳別問那麼多，這不是小孩子該問的。」,中,燦笑,制服,,,,
旁白,0,有人可以告訴我她在說什麼嗎？去愛情旅館脫衣服幹什麼？是要害我被FBI抓走嗎？ ,,,,,,,
旁白,彩霞,「感覺挺刺激的啊……我可以加入嗎？我早就想試試看三人行了，去我家開的旅館還有打折喔。」,,興奮,制服,,,,
旁白,0,謝謝妳喔，但如果妳可以閉嘴會更好。,,,,,,,
對話,晴光,「隨便啦，那就一起走吧。」,中,燦笑,制服,,,,
旁白,,晴光又伸手想拉我，卻有一人擋在我面前，一把拍開晴光的手。,,,,,,,
對話,???,「放開妳的髒手，小矮子。」,中,,剪影,夜雨,,,
旁白,0,從我的角度，只能看到一頭烏亮的黑髮。,,,,,,,
旁白,0,但髮間這股梔子花的香味、耳邊低沉卻撫媚的聲音，讓我確定眼前肯定是「夜雨」學姊沒錯。,,,,,,,
旁白,0,我最討厭麻煩的事情，但事情偏偏要變得麻煩了。,,,,,,,
,,{EndDialouge},,,,,,,
